pathway_id	pathway_name	genes
R-HSA-171319	Telomere Extension By Telomerase	O00743,O14746,O15084,O60832,P20248,P24941,P54274,P78396,Q15554,Q5H9R7,Q6PI26,Q96AP0,Q9BSI4,Q9BUR4,Q9H611,Q9NPE3,Q9NUX5,Q9NX24,Q9NY12,Q9NYB0,Q9NZ71,Q9Y230,Q9Y265
R-HSA-204005	COPII-mediated vesicle transport	O00743,O14653,O15027,O15084,O15155,O15498,O43617,O60763,O75396,O75865,O94855,O94979,O95406,O95486,O95487,P00451,P01009,P01135,P0DI81,P12259,P13987,P15328,P15514,P42261,P46459,P48553,P48730,P49257,P49755,P53634,P53992,P54920,P55735,P56962,P62820,Q02388,Q08379,Q12907,Q13190,Q15363,Q15436,Q5H9R7,Q6PI25,Q86SZ2,Q8IUR0,Q8NI22,Q8TBE1,Q8WVM8,Q92734,Q96BZ9,Q96IW7,Q96JE7,Q96Q05,Q99747,Q9BQQ3,Q9BRL7,Q9H0U4,Q9H0V9,Q9H115,Q9HAT1,Q9HCU5,Q9NQW1,Q9UBR2,Q9UL33,Q9UPN7,Q9Y296,Q9Y5R8,Q9Y6B6,Q9Y6Y8
R-HSA-3238698	WNT ligand biogenesis and trafficking	O00744,O00744,O00755,O00755,O14904,O14904,O14905,O14905,O60493,O75436,O96014,O96014,P04628,P04628,P09544,P09544,P41221,P41221,P56703,P56703,P56704,P56704,P56705,P56705,P56706,P56706,Q5T9L3,Q93097,Q93097,Q93098,Q93098,Q96QK1,Q9GZT5,Q9GZT5,Q9H1J5,Q9H1J5,Q9H1J7,Q9H1J7,Q9H237,Q9UBQ0,Q9UBV4,Q9UBV4,Q9Y3A6,Q9Y6F9,Q9Y6F9
R-HSA-499943	Interconversion of nucleotide di- and triphosphates	O00746,O60361,P00390-2,P00568,P04818,P10599,P15531,P17812,P22392,P23919,P23921,P27144,P30085,P31350,P32321,P33316-2,P35754,P54819,Q13232,Q16774,Q16881,Q5TCS8,Q7LG56,Q86X67,Q96M32,Q96MA6,Q9H773,Q9NRF8,Q9Y3D8,Q9Y6K8
R-HSA-9749641	Aspirin ADME	O00748,O15438,O60656,O75310,O75795,O94956-1,P02768,P05181,P06133,P06276,P08684,P0C7M7,P0DTE4,P0DTE5,P10632,P10635,P11712,P16662,P19224,P22309,P22310,P23141,P33261,P35503,P35504,P35613,P36537,P53985,P54855,Q08AH3,Q3SY77,Q5SZD4,Q68CK6,Q6IB77,Q6NUN0,Q6NUS8,Q6UWM9,Q8WU03,Q92887,Q969I3,Q9BY64,Q9HAW7,Q9HAW9,Q9Y694
R-HSA-141430	Inactivation of APC/C via direct inhibition of the APC/C complex	O00762,O43684,O60566,P30260,P51668,P51965,P60006,Q12834,Q13042,Q13257,Q16763,Q8NHZ8,Q96DE5,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM13
R-HSA-174048	APC/C:Cdc20 mediated degradation of Cyclin B	O00762,P06493,P0CG47,P0CG48,P14635,P30260,P51668,P51965,P60006,P62979,P62987,Q12834,Q13042,Q16763,Q8NHZ8,Q96DE5,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM13
R-HSA-176407	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	O00762,P30260,P51668,P51965,P60006,Q12834,Q13042,Q16763,Q8NHZ8,Q96DE5,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM11,Q9UM13,Q9UNH5
R-HSA-176408	Regulation of APC/C activators between G1/S and early anaphase	O00762,P06493,P14635,P20248,P24941,P30260,P51668,P51965,P60006,P78396,Q12834,Q13042,Q16763,Q8NHZ8,Q96DE5,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UKT4,Q9UM11,Q9UM13
R-HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	O00762,O43684,O60566,P30260,P51668,P51965,P60006,Q12834,Q13042,Q13257,Q16763,Q8NHZ8,Q96DE5,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM13
R-HSA-176412	Phosphorylation of the APC/C	O00762,P06493,P14635,P30260,P51668,P51965,P53350,P60006,Q13042,Q16763,Q8NHZ8,Q96DE5,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM13
R-HSA-179409	APC-Cdc20 mediated degradation of Nek2A	O00762,O43684,O60566,P0CG47,P0CG48,P30260,P51668,P51955,P51965,P60006,P62979,P62987,Q12834,Q13042,Q13257,Q16763,Q8NHZ8,Q96DE5,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM13
R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	O00762,O60814,O95231,P01100,P01583,P04908,P05231,P05412,P06899,P0C5Y9,P0CG47,P0CG48,P10145,P11802,P16104,P17676,P17676,P19838,P20248,P20671,P23527,P24941,P27361,P28482,P30260,P33778,P38936,P40763,P42771,P42772,P42773,P46527,P51668,P51812,P51812,P51965,P55273,P57053,P58876,P60006,P62805,P62807,P62979,P62987,P68431,P78396,P84243,Q00534,Q04206,Q13042,Q13164,Q15349,Q15349,Q15418,Q15418,Q16270,Q16763,Q16777,Q16778,Q6FI13,Q71DI3,Q71UI9,Q8N257,Q8NHZ8,Q93077,Q93079,Q96A08,Q96DE5,Q96KQ7,Q99877,Q99878,Q99879,Q99880,Q9BTM1,Q9H1A4,Q9H9B1,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM11,Q9UM13
R-HSA-8853884	Transcriptional Regulation by VENTX	O00762,O95231,P04637,P05231,P07333,P17676,P19838,P24385,P30260,P35222,P42771,P51668,P51965,P60006,Q04206,Q13042,Q16763,Q8NDV7,Q8NHZ8,Q96DE5,Q96KQ7,Q9H1A4,Q9H9B1,Q9H9G7,Q9HCE1,Q9HCJ0,Q9HCK5,Q9NQB0,Q9NYG5,Q9UJU2,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UL18,Q9UM11,Q9UM13,Q9UPQ9
R-HSA-9687136	Aberrant regulation of mitotic exit in cancer due to RB1 defects	O00762,P06400,P30260,P51668,P51965,P60006,Q13042,Q13309,Q16763,Q8NHZ8,Q96DE5,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM11,Q9UM13
R-HSA-163765	ChREBP activates metabolic gene expression	O00763,P30613-1,P49327,P53396,Q13085,Q99943,Q9NP71,Q9NP71,Q9UH92,Q9UH92
R-HSA-196780	Biotin transport and metabolism	O00763,P05165,P05166,P11498,P43251,P50747,Q13085,Q5EBL8,Q96RQ3,Q9HCC0,Q9Y289
R-HSA-200425	Carnitine shuttle	O00763,O43741,O43772,O76082,P19793,P23786,P50416,P54646,Q03181,Q13085,Q92523,Q92748,Q9NPA3,Q9UGJ0
R-HSA-2426168	Activation of gene expression by SREBF (SREBP)	O00763,O00767,O60907,O75845,O76062,O95749,P04035-1,P08047,P14324,P19793,P23511,P23511,P25208,P25208,P36956-1,P36956-1,P36956-3,P36956-3,P37268,P48449,P49327,P53602,Q01581,Q03426,Q07869,Q12772,Q12772,Q13085,Q13907,Q13952,Q13952,Q14534,Q14686,Q14872,Q15126,Q15596,Q15648,Q15788,Q16850,Q3L8U1,Q6STE5,Q86X55,Q92793,Q96RS0,Q9BYK8,Q9BZK7,Q9H5J4,Q9HCL2,Q9UBM7
R-HSA-964975	Vitamin B6 activation to pyridoxal phosphate	O00764,Q06278,Q9NVS9
R-HSA-75105	Fatty acyl-CoA biosynthesis	O00767,O14975,P49327,P49327,P50897,P53396,P86397,Q13085,Q86SK9,Q8N4T8,Q92506,Q9NV23,Q9UMR5,Q9Y6X9
R-HSA-9029558	NR1H2 & NR1H3 regulate gene expression linked to lipogenesis	O00767,P19793,P28702,P36956-3,P48552,P49327,P55055,Q13133,Q9Y5C1
R-HSA-9841922	MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis	O00767,O14686,O15120,O15379,O15379,O15550,O43513,O43513,O60240,O60244,O60244,O60814,O60814,O60907,O60907,O75192,O75376,O75376,O75448,O75448,O75586,O75586,P00519,P04908,P04908,P06400,P06858,P06899,P06899,P0C5Y9,P0C5Y9,P15090,P16104,P16104,P16671,P19793,P19793,P20671,P20671,P23527,P23527,P24863,P24863,P33121,P33778,P33778,P37231-1,P37231-1,P37231-2,P37231-2,P49336,P49336,P49715,P57053,P57053,P58876,P58876,P61964,P62805,P62805,P62807,P62807,P68431,P68431,P84243,P84243,Q00535,Q05469,Q09472,Q09472,Q13227,Q13227,Q13772,Q13772,Q14686,Q14686,Q14693,Q15291,Q15596,Q15596,Q15648,Q15648,Q15788,Q15788,Q15848,Q16654,Q16777,Q16777,Q16778,Q16778,Q6FI13,Q6FI13,Q6P2C8,Q6P2C8,Q6ZW49,Q71DI3,Q71DI3,Q71UI9,Q71UI9,Q86SK9,Q86YN6,Q86YN6,Q8N257,Q8N257,Q8NEZ4,Q8WV24,Q92748,Q92793,Q92793,Q93074,Q93074,Q93077,Q93077,Q93079,Q93079,Q96A08,Q96A08,Q96AD5,Q96AQ7,Q96EB6,Q96HR3,Q96HR3,Q96IF1,Q96PD7,Q96Q06,Q99541,Q99685,Q99877,Q99877,Q99878,Q99878,Q99879,Q99879,Q99880,Q99880,Q9BTK6,Q9BTM1,Q9BTM1,Q9BTT4,Q9BTT4,Q9BY76,Q9BZK7,Q9BZK7,Q9C005,Q9H6R3,Q9H944,Q9H944,Q9HCL2,Q9NPJ6,Q9NPJ6,Q9NVC6,Q9NVC6,Q9NYP7,Q9UBK2,Q9UBK2,Q9UBL3,Q9UHV7,Q9UHV7,Q9ULK4,Q9ULK4,Q9Y2X0,Q9Y2X0,Q9Y3C7,Q9Y3C7,Q9Y618,Q9Y618,Q9Y6Q9,Q9Y6Q9
R-HSA-9637698	Phagocyte cell death caused by cytosolic Mtb	O05442
R-HSA-6794361	Neurexins and neuroligins	O14490,O14490,O14910,O14936,O14936,O15399,O43166,O43300,O43491,O43581,O95886,O95886,O96018,P11171,P21579,P41594,P41594,P58400,P58400,P58401,P58401,P61764,P78352,P78352,Q02410,Q05586,Q12879,Q13224,Q13255,Q13255,Q14957,Q15700,Q15700,Q16623,Q6XYQ8,Q86SS6,Q86UE6,Q86VH4,Q86VH5,Q86YM7,Q86YM7,Q8IV01,Q8N0W4,Q8N0W4,Q8N2Q7,Q8N2Q7,Q8N9I0,Q8NFZ3,Q8NFZ3,Q8NFZ4,Q8NFZ4,Q92796,Q92796,Q96HC4,Q99767,Q9BUH8,Q9BYB0,Q9BYB0,Q9H0F6,Q9H4G0,Q9HAP6,Q9HCM4,Q9HDB5,Q9HDB5,Q9NSB8,Q9NSB8,Q9NSC5,Q9NSC5,Q9NUP9,Q9NZ94,Q9NZ94,Q9P1A6,Q9P1A6,Q9P2S2,Q9P2S2,Q9UJU6,Q9ULB1,Q9ULB1,Q9UPX8,Q9UPX8,Q9Y2H0,Q9Y2H0,Q9Y2J2,Q9Y4C0,Q9Y4C0,Q9Y566,Q9Y566
R-HSA-1433559	Regulation of KIT signaling	O14492,O14544,O15524,P06239,P06241,P07947,P07948,P10721,P10721,P12931-1,P17252,P21583-1,P21583-1,P22681,P29350,P62993-1,Q07889,Q9UQQ2
R-HSA-983231	Factors involved in megakaryocyte development and platelet production	O14492,O15315,O15525,O15525,O43502,O43572,O60341,O60674,O60675,O60675,O95140,P00519,P01562,P01563,P01566,P01567,P01568,P01569,P01570,P01571,P01574,P02042,P02100,P04637,P05013,P05014,P05015,P10242,P10644,P10914,P13861,P14316,P15976,P17612,P20339,P22612,P22694,P23769,P23771,P24941,P30291,P31321,P31323,P32881,P43694,P45973,P47755,P47755,P47756,P47756,P52907,P52907,P60709,P60953,P63000,P68431,P68871,P69891,P69892,P84243,Q00535,Q13547,Q13572,Q14185,Q15652,Q16621,Q16621,Q5JSL3,Q5VZK9,Q71DI3,Q8IWA4,Q8IX07,Q8IZD9,Q8N1I0,Q8NF50,Q8TDN4,Q8TDZ2,Q8WW38,Q92608,Q92667,Q92769,Q92908,Q96BD5,Q96BY6,Q96HP0,Q96N67,Q96ST3,Q9BTV7,Q9BWX5,Q9BZ29,Q9H1K0,Q9H4M9,Q9H7D0,Q9NRF2,Q9NRW7,Q9NZN3,Q9NZN4,Q9P0W2,Q9UIJ7,Q9UKL0,Q9ULX9,Q9ULX9,Q9UQQ2
R-HSA-9845614	Sphingolipid catabolism	O14494,O14495,O43688,O95470,P43353,P48448,P51648-1,Q5QJU3,Q8IWX5,Q8TDN7,Q9BX95,Q9NUN7
R-HSA-3214858	RMTs methylate histone arginines	O14497,O14744,O60674,O60678,O94805,O96019,P04908,P0C0S8,P0C5Y9,P11802,P15880,P16104,P20671,P24385,P51531,P51532,P61964,P62805,P68431,Q12824,Q16576,Q16777,Q68CP9,Q6FI13,Q6STE5,Q71DI3,Q71UI9,Q7L7L0,Q86U86,Q86X55,Q8IUE6,Q8NFD5,Q8TAQ2,Q92922,Q92925,Q93077,Q969G3,Q96GM5,Q96KK5,Q96LA8,Q96QV6,Q99873,Q99878,Q9BQA1,Q9BTM1,Q9NQ92,Q9NVM4,Q9Y6K1
R-HSA-9824585	Regulation of MITF-M-dependent genes involved in pigmentation	O14497,O14497,O75030-9,O75030-9,O75177,O75177,O96019,O96019,P05549,P14679,P16220-1,P17643,P22415,P31751,P35222,P40126,P40967,P51159,P51531,P51531,P51532,P51532,P51810,P56693,P60709,P60709,Q12824,Q12824,Q15306,Q15532,Q15532,Q16539,Q16655,Q4VC05,Q4VC05,Q6STE5,Q6STE5,Q8NFD5,Q8NFD5,Q8NFW9,Q8TAQ2,Q8TAQ2,Q8WUZ0,Q8WUZ0,Q92782,Q92782,Q92784,Q92784,Q92785,Q92785,Q92922,Q92922,Q92925,Q92925,Q969G3,Q969G3,Q96GM5,Q96GM5,Q9BQE9,Q9BQE9,Q9BV36,Q9HCH5,Q9UJU2,Q9Y4I1,Q9Y4I1
R-HSA-9706369	Negative regulation of FLT3	O14508,O14544,P0CG47,P0CG48,P22681,P36888,P41240,P42684,P49771,P62979,P62987,Q12913,Q13239,Q9H6Q3,Q9UQQ2
R-HSA-982772	Growth hormone receptor signaling	O14508,O14543,O15524,O60674,O60674,P01236,P01241,P01241,P01242,P01242,P07948,P07948,P0DML2,P10912,P10912,P16471,P18031,P18031,P27361,P28482,P29350,P35568,P40763,P42224,P42229,P42229,P51692,P51692,P78536,Q9NRF2-2,Q9NSE2,Q9Y4H2
R-HSA-1227986	Signaling by ERBB2	O14511,O14944,P00533,P01133,P04626,P06241,P07900,P07947,P12931,P21860-1,P35070,P56975,Q02297-10,Q02297,Q15303-1,Q15303-2,Q15303-3,Q16543,Q8WWG1,Q96RT1,Q99075
R-HSA-1236394	Signaling by ERBB4	O14511,O14511,O14944,P00533,P01133,P14867,P18505,P18507,P21860-1,P28472,P35070,P47870,P56975,P78352,Q02297-10,Q02297,Q15303-1,Q15303-1,Q15303-2,Q15303-2,Q15303-3,Q15303-3,Q8WWG1,Q99075,Q99928,Q9UN88
R-HSA-1250196	SHC1 events in ERBB2 signaling	O14511,O14511,O14944,O14944,P00533,P00533,P01111,P01112,P01116-1,P01116-2,P01133,P01133,P04626,P04626,P17252,P21860-1,P21860-1,P29353-1,P29353-2,P29353,P29353,P35070,P35070,P56975,P56975,P62993-1,Q02156,Q02297-10,Q02297-10,Q02297,Q02297,Q05209,Q05209,Q05655,Q07889,Q15303-1,Q15303-1,Q15303-2,Q15303-2,Q15303-3,Q15303-3,Q8WWG1,Q8WWG1,Q99075,Q99075
R-HSA-1250342	PI3K events in ERBB4 signaling	O14511,O14944,P27986,P35070,P42336,P56975,Q02297,Q15303-1,Q15303-2,Q8WWG1,Q99075
R-HSA-1250347	SHC1 events in ERBB4 signaling	O14511,O14944,P01111,P01112,P01116-1,P01116-2,P29353,P35070,P56975,P62993-1,Q02297,Q07889,Q15303-1,Q15303-2,Q15303-3,Q8WWG1,Q99075
R-HSA-1251985	Nuclear signaling by ERBB4	O14511,O14944,O75376,O75376,O75689,P02649,P03372,P04271,P05814,P06401,P09486,P12931,P14136,P16949,P35070,P42229,P46937,P48061,P49768,P49810,P56975,P78536,Q02297,Q14582,Q15303-1,Q15303-1,Q15303-2,Q15303-3,Q15303-3,Q8WW43,Q8WWG1,Q92542,Q96BI3,Q99075,Q9NYJ8,Q9NYJ8,Q9NZ42,Q9NZC7
R-HSA-1306955	GRB7 events in ERBB2 signaling	O14511,P04626,P21860-1,Q02297-10,Q02297,Q14451
R-HSA-1358803	Downregulation of ERBB2:ERBB3 signaling	O14511,P04626,P0CG47,P0CG48,P21860-1,P31749,P31751,P40818,P62979,P62987,Q02297-10,Q02297,Q9H4P4,Q9Y243
R-HSA-1963640	GRB2 events in ERBB2 signaling	O14511,O14944,P00533,P01111,P01111,P01112,P01112,P01116-1,P01116-1,P01116-2,P01116-2,P01133,P04626,P04626,P35070,P56975,P62993-1,P62993-1,Q02297,Q07889,Q07889,Q15303-1,Q15303-2,Q15303-3,Q8WWG1,Q99075
R-HSA-1963642	PI3K events in ERBB2 signaling	O14511,O14944,P00533,P01133,P04626,P21860-1,P27986,P35070,P42336,P56975,P62993-1,Q02297-10,Q02297,Q13480,Q15303-1,Q15303-2,Q8WWG1,Q99075
R-HSA-6785631	ERBB2 Regulates Cell Motility	O14511,O14944,O60610,P00533,P01133,P04626,P21860-1,P35070,P56975,P61586,Q02297-10,Q02297,Q15303-1,Q15303-2,Q15303-3,Q8WWG1,Q99075,Q9Y316
R-HSA-8847993	ERBB2 Activates PTK6 Signaling	O14511,O14944,P00533,P01133,P04626,P21860-1,P35070,P56975,Q02297-10,Q02297,Q13882,Q15303-1,Q15303-2,Q15303-3,Q8WWG1,Q99075
R-HSA-8863795	Downregulation of ERBB2 signaling	O14511,O14944,P00533,P01133,P04626,P07900,P0CG47,P0CG48,P21860-1,P35070,P42679,P56975,P62979,P62987,Q02297-10,Q02297,Q05209,Q15303-1,Q15303-2,Q15303-3,Q16543,Q8WWG1,Q93034,Q96RT1,Q99075,Q99952,Q9UNE7
R-HSA-9664565	Signaling by ERBB2 KD Mutants	O14511,O14944,P00533,P01111,P01112,P01116-1,P01116-2,P01133,P04626,P07900,P19174,P21860-1,P27986,P29353,P35070,P42336,P56975,P62993-1,Q02297-10,Q02297,Q07889,Q13480,Q15303-1,Q15303-2,Q15303-3,Q16543,Q8WWG1,Q96RT1,Q99075
R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants	O14511,O14944,P00533,P01111,P01112,P01116-1,P01116-2,P01133,P04626,P07900,P19174,P21860-1,P29353,P35070,P56975,P62993-1,Q02297-10,Q02297,Q07889,Q15303-1,Q15303-2,Q15303-3,Q16543,Q8WWG1,Q96RT1,Q99075
R-HSA-432030	Transport of glycerol from adipocytes to the liver by Aquaporins	O14520,O43315
R-HSA-432047	Passive transport by Aquaporins	O14520,O43315,O94778,P29972,P30301,P41181,P55064,P55087,Q13520,Q8IXF9,Q8NBQ7,Q92482,Q96PS8
R-HSA-71403	Citric acid cycle (TCA cycle)	O14521,O43837,O75390,P07954,P21912,P31040,P40926,P48735,P50213,P51553,P53597,Q12931,Q13423,Q96I99,Q99643,Q99798,Q9P2R7
R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis	O14526,O14641,O14656,O14657,O14944,O14964,O43493,O60641,O75379,O75886,O94973,O95208,O95782,P00533,P01130,P01133,P01135,P01185,P01730,P02786,P02787,P04114,P04234,P07550,P08172,P09496,P09497,P09693,P0CG47,P0CG48,P11717,P13569,P15514,P16871,P20645,P21579,P22681,P25098,P25103,P30518,P30556,P32121,P35070,P35626,P41221,P42566,P49407,P51809,P52594,P53675,P53680,P61201,P62979,P62987,P62993-1,P63010,P63027,P98082,P98164,Q00610,Q0JRZ9,Q13098,Q13492,Q14108,Q15811,Q15836,Q15843,Q16572,Q2M2I8,Q5SW96,Q5VV43,Q6UW88,Q7L5N1,Q86SS6,Q8N9I0,Q8NBV8,Q8NC96,Q8NFH8,Q8WXE9,Q92783,Q92905,Q96B97,Q96CW1,Q96D71,Q99075,Q99627,Q99961,Q99962,Q99963,Q9BQI5,Q9BT78,Q9BT88,Q9BV40,Q9H9Q2,Q9NVZ3,Q9NY64,Q9NZM3,Q9UBC2,Q9UBW8,Q9UHD9,Q9ULV1,Q9UMX0,Q9UNS2,Q9Y6I3,Q9Y6Q2
R-HSA-399956	CRMPs in Sema3A signaling	O14531,O14786,O14786,O75051,O75051,P06241,P06241,P07332,P49841,P51805,P51805,Q00535,Q00535,Q14194,Q14195,Q14563,Q14563,Q15078,Q15078,Q16555,Q9BPU6,Q9HCM2,Q9HCM2,Q9UIW2,Q9UIW2
R-HSA-1059683	Interleukin-6 signaling	O14543,O60674,O60674,P05231,P08887-2,P08887,P22681,P23458,P23458,P29597,P29597,P40189-1,P40189-2,P40189,P40189,P40763,P42224-1,P42224,Q06124
R-HSA-2586552	Signaling by Leptin	O14543,O60674,P35568,P40763,P41159,P42229,P48357-1,P51692,Q06124,Q9NRF2-2,Q9Y4H2
R-HSA-877312	Regulation of IFNG signaling	O14543,O15524,O60674,O60674,O75925,P01579,P01579,P15260,P15260,P17706-2,P18031,P23458,P23458,P29350,P38484,P38484,P42224-1,P63165,Q06124
R-HSA-8849474	PTK6 Activates STAT3	O14543,P40763,P40763,Q13882,Q9UGK3
R-HSA-8939242	RUNX1 regulates transcription of genes involved in differentiation of keratinocytes	O14543,O60911,P07711,P43235,Q01196,Q01196,Q13951,Q13951,Q8WXH5,Q9UIV8
R-HSA-909733	Interferon alpha/beta signaling	O14543,O14879,O14896,O15524,P00973,P01562,P01563,P01566,P01567,P01568,P01569,P01570,P01571,P01574,P01889,P01893,P04439,P05013,P05014,P05015,P05161,P09912,P09913,P09914,P0CG47,P0CG48,P0DTC9,P10321,P10914,P13164,P13747,P14316,P17181,P17693,P18146,P19525,P20591,P20592,P23458,P28062,P29350,P29597,P29728,P30511,P32456,P32881,P40305,P42224-1,P42224-2,P42224,P48551-2,P52294,P52630,P55265,P61221,P62979,P62987,P80217,Q00978,Q01628,Q01629,Q02556,Q05823,Q06124,Q10589,Q13325,Q13568,Q14653,Q14974,Q15306,Q15646,Q6GPH4,Q8WXG1,Q92985,Q96AZ6,Q9UHH9,Q9Y3Z3,Q9Y6K5
R-HSA-912694	Regulation of IFNA/IFNB signaling	O14543,O15524,P01562,P01562,P01563,P01563,P01566,P01566,P01567,P01567,P01568,P01568,P01569,P01569,P01570,P01570,P01571,P01571,P01574,P01574,P05013,P05013,P05014,P05014,P05015,P05015,P17181,P17181,P18031,P23458,P23458,P29350,P29597,P29597,P32881,P32881,P42224-1,P42224-2,P48551-2,P48551-2,P52630,P52630,Q06124,Q9UMW8
R-HSA-9674555	Signaling by CSF3 (G-CSF)	O14543,O15524,O60674,O60674,P01116,P07948,P07948,P08631,P08631,P09919,P09919,P23458,P23458,P29353,P29353,P29597,P29597,P40763,P42224,P42229,P43405,P43405,P51692,P62993,P62993,Q06124,Q06124,Q99062,Q99062,Q9UQC2,Q9UQC2
R-HSA-9705462	Inactivation of CSF3 (G-CSF) signaling	O14543,O14543,O15524,O15524,O60674,O60674,P07948,P07948,P08631,P08631,P09919,P09919,P0CG47,P0CG48,P23458,P23458,P29597,P29597,P40763,P42224,P42229,P43405,P43405,P51668,P51692,P61077,P62837,P62979,P62987,Q15369,Q15369,Q15370,Q15370,Q93034,Q93034,Q99062,Q99062,Q9UBF6,Q9UBF6
R-HSA-5625900	RHO GTPases activate CIT	O14578-3,O14578-3,O14578,O14578,O14950,O14974,O43663,O60237,P08134,P08134,P24844,P35579,P35580,P35749,P46527,P60660,P61586,P61586,P62140,P62745,P62745,P63000,P63000,P78352,Q15058,Q7Z406
R-HSA-2022870	Chondroitin sulfate biosynthesis	O14594,O95196,P07585,P13611,P21810,Q6UVK1,Q70JA7,Q7L1S5-2,Q7LFX5,Q7LGC8,Q86X52,Q8IZ52,Q8N6G5,Q8NET6,Q8TDX6,Q96GW7,Q9NPF2,Q9NRB3,Q9NS84,Q9P2E5
R-HSA-2022923	Dermatan sulfate biosynthesis	O14594,O95196,P07585,P13611,P21810,Q6UVK1,Q8IZU8,Q8NCH0,Q96GW7,Q9UL01,Q9Y2C2
R-HSA-2024101	CS/DS degradation	O14594,O43820,O95196,P06865,P07585,P07686,P13611,P15848,P21810,P22304,P35475,Q12794,Q6UVK1,Q96GW7
R-HSA-3595172	Defective CHST3 causes SEDCJD	O14594,O95196,P07585,P13611,P21810,Q6UVK1,Q7LGC8,Q96GW7
R-HSA-3595174	Defective CHST14 causes EDS, musculocontractural type	O14594,O95196,P07585,P13611,P21810,Q6UVK1,Q8NCH0,Q96GW7
R-HSA-3595177	Defective CHSY1 causes TPBS	O14594,O95196,P07585,P13611,P21810,Q6UVK1,Q86X52,Q96GW7
R-HSA-373760	L1CAM interactions	O14594,O95372,P07942,P11047,P17677,P25063,P25391,P29323,P32004,P32004,Q02246,Q12860,Q13740,Q96S59
R-HSA-381038	XBP1(S) activates chaperone genes	O14595,O14653,O14773,O43731,O43909,O76024,O94979,O95070,P02545,P08240,P0C869,P0DMM9,P17861-2,P29353,P35611,P43307,P49748,P49840,P51858,P61421,Q06210,Q13105,Q13217,Q14203,Q14554,Q14999,Q15084,Q15173,Q5MNZ9,Q86TM6,Q8N6T3,Q92611,Q92935,Q93075,Q969H8,Q96FC9,Q9BQ90,Q9H2G4,Q9HCU5,Q9NWM8,Q9P0U4,Q9UBQ6,Q9UBS3,Q9UBS4,Q9Y490,Q9Y4L1,Q9Y5M8,Q9Y6X1
R-HSA-3214842	HDMs demethylate histones	O14607,O15054,O15550,O60341,O75151,O75164,O94953,P29375,P41229,P62805,P68431,Q14865,Q6B0I6,Q6NYC1,Q6ZMT4,Q71DI3,Q7LBC6,Q8IUF8,Q8NB78,Q8NHM5,Q9BY66,Q9H3R0,Q9UGL1,Q9UPP1,Q9Y2K7,Q9Y4C1
R-HSA-1296041	Activation of G protein gated Potassium channels	O14610,O14775,O60262,O75899,P16520,P48050,P48051,P48544,P48549,P50150,P50151,P59768,P61952,P62873,P62879,P63211,P63215,P63218,P63252,P78508,Q14500,Q92806,Q99712,Q9HAV0,Q9NPI9,Q9P2W3,Q9UBI6,Q9UBS5,Q9UK08
R-HSA-202040	G-protein activation	O14610,O14775,O60262,O95837,P01189,P01213,P16520,P29992,P30679,P35372,P50148,P50150,P50151,P59768,P61952,P62873,P62879,P63211,P63215,P63218,Q9HAV0,Q9P2W3,Q9UBI6,Q9UK08
R-HSA-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	O14610,O14610,O14775,O14775,O43306,O60262,O60262,O95398,O95622,P01275,P01275,P10644,P13861,P16520,P16520,P17612,P17612,P22612,P22612,P22694,P22694,P24588,P31321,P31323,P40145,P43220,P43220,P46940,P50150,P50150,P50151,P50151,P59768,P59768,P61952,P61952,P62834,P62873,P62873,P62879,P62879,P63092,P63092,P63211,P63211,P63215,P63215,P63218,P63218,Q14571,Q14573,Q14643,Q14721,Q5JWF2,Q5JWF2,Q8WZA2,Q96PR1,Q9BQ31,Q9HAV0,Q9HAV0,Q9P2W3,Q9P2W3,Q9UBI6,Q9UBI6,Q9UJ96,Q9UK08,Q9UK08
